Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Mystore,Chrome 106.0.0.0,,,2022-10-16 20:29:39,2022-10-16 20:31:13,"1m - 34,152s",FAILED
,,,,,,,
Test Cases/LogIn,Chrome 106.0.0.0,,,2022-10-16 20:29:40,2022-10-16 20:30:12,"32,611s",PASSED
"openBrowser("""")",Chrome 106.0.0.0,,,2022-10-16 20:29:40,2022-10-16 20:29:44,"3,563s",PASSED
"navigateToUrl(""http://automationpractice.com/index.php"")",Chrome 106.0.0.0,,,2022-10-16 20:29:44,2022-10-16 20:29:53,"9,488s",PASSED
"click(findTestObject(""Object Repository/Page_My Store/a_Sign in""))",Chrome 106.0.0.0,,,2022-10-16 20:29:53,2022-10-16 20:30:02,"8,684s",PASSED
"setText(findTestObject(""Object Repository/Page_Login - My Store/input_Email address_email""), ""test.test@demo.it"")",Chrome 106.0.0.0,,,2022-10-16 20:30:02,2022-10-16 20:30:03,"1,047s",PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - My Store/input_Password_passwd""), ""p4y+y39Ir5Oy1MY8jPt0uQ=="")",Chrome 106.0.0.0,,,2022-10-16 20:30:03,2022-10-16 20:30:04,"0,518s",PASSED
"click(findTestObject(""Object Repository/Page_Login - My Store/span_Sign in""))",Chrome 106.0.0.0,,,2022-10-16 20:30:04,2022-10-16 20:30:11,"7,825s",PASSED
"waitForElementPresent(findTestObject(""Object Repository/Page_My account - My Store/a_test test""), 0)",Chrome 106.0.0.0,,,2022-10-16 20:30:11,2022-10-16 20:30:12,"0,522s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_My account - My Store/span_test test""), ""test test"")",Chrome 106.0.0.0,,,2022-10-16 20:30:12,2022-10-16 20:30:12,"0,419s",PASSED
,,,,,,,
Test Cases/Ordine,Chrome 106.0.0.0,,,2022-10-16 20:30:12,2022-10-16 20:31:07,"54,228s",FAILED
"click(findTestObject(""Object Repository/Page_My account - My Store/a_T-shirts""))",Chrome 106.0.0.0,,,2022-10-16 20:30:13,2022-10-16 20:30:17,"3,561s",PASSED
"click(findTestObject(""Object Repository/Page_T-shirts - My Store/input_(1)_layered_id_attribute_group_3""))",Chrome 106.0.0.0,,,2022-10-16 20:30:17,2022-10-16 20:30:17,"0,526s",PASSED
"verifyElementText(findTestObject(""Object Repository/Page_T-shirts  Size L - My Store/a_Faded Short Sleeve T-shirts""), ""Faded Short Sleeve T-shirts"")",Chrome 106.0.0.0,,,2022-10-16 20:30:17,2022-10-16 20:30:21,"3,468s",PASSED
"verifyElementText(findTestObject(""Page_T-shirts  Size L - My Store/span_Importo""), ""$16.51"")",Chrome 106.0.0.0,,,2022-10-16 20:30:21,2022-10-16 20:30:21,"0,367s",PASSED
